Zelle;Kapazität in mAh;Temperatur in ;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;(rel. Kal. Alterung %)/Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie
NCR18650BD;3200;25;50;0,877;3,04;0,040423;129,3544614;42,52749415;15522,53537;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;50;0,862;73;0,001885;6,033029472;0,082644239;30,16514736;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;50;0,862;139;0,000992;3,173762573;0,022832824;8,333980857;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;50;0,846;202;0,000763;2,44252689;0,012091717;4,413476805;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;50;0,838;297;0,000546;1,748073054;0,005885768;2,148305268;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;50;0,828;385;0,000447;1,430610656;0,003715872;1,356293219;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;50;0,836;435;0,000377;1,205514338;0,002771297;1,011523525;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;50;0,889;3,04;0,036456;116,6594672;38,35379742;13999,13606;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;50;0,858;73;0,001948;6,234210564;0,085400145;31,17105282;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;50;0,853;139;0,001055;3,375544728;0,024284494;8,863840472;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;50;0,838;202;0,000804;2,572848661;0,012736875;4,648959214;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;50;0,829;297;0,000577;1,845207639;0,00621282;2,267679422;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;50;0,819;385;0,000469;1,500620132;0,003897715;1,422665839;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;50;0,823;435;0,000406;1,299206919;0,002986683;1,090139139;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
