Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
NCR18650BD;3200;10;20;0.832;385.0;0.0436364;537.6;1.396363636;509.6727273;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;20;0.830;435.0;0.0390805;544;1.250574713;456.4597701;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;20;0.836;297.0;0.0552189;524.8;1.767003367;644.956229;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;20;0.835;385.0;0.0428571;528;1.371428571;500.5714286;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;20;0.830;435.0;0.0390805;544;1.250574713;456.4597701;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;20;0.879;3.0;3.9802632;387.2;127.3684211;46489.47368;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;20;0.863;73.0;0.1876712;438.4;6.005479452;2192;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;20;0.859;139.0;0.1014388;451.2;3.246043165;1184.805755;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;20;0.850;202.0;0.0742574;480;2.376237624;867.3267327;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;20;0.876;3.0;4.0789474;396.8;130.5263158;47642.10526;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;20;0.863;73.0;0.1876712;438.4;6.005479452;2192;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;20;0.858;139.0;0.1021583;454.4;3.269064748;1193.208633;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;20;0.838;202.0;0.0801980;518.4;2.566336634;936.7128713;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;20;0.827;297.0;0.0582492;553.6;1.863973064;680.3501684;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;20;0.811;385.0;0.0490909;604.8;1.570909091;573.3818182;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;20;0.826;435.0;0.0400000;556.8;1.28;467.2;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;20;0.940;300.0;0.0200000;168;0.56;204.4;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;20;0.957;300.0;0.0143333;120.4;0.401333333;146.4866667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;20;0.972;300.0;0.0093333;78.4;0.261333333;95.38666667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;40;20;0.954;300.0;0.0153333;94.3;0.314333333;114.7316667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;20;0.977;300.0;0.0076667;47.15;0.157166667;57.36583333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;20;0.911;270.0;0.0329630;97.9;0.362592593;132.3462963;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;20;0.944;270.0;0.0207407;61.6;0.228148148;83.27407407;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;20;0.980;270.0;0.0074074;22;0.081481481;29.74074074;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;20;0.948;160.5;0.0323967;106.6;0.664133076;242.4085727;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;30;0.972;288.0;0.0097222;78.4;0.272222222;99.36111111;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;30;0.932;285.0;0.0238596;190.4;0.668070175;243.845614;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;30;0.932;300.0;0.0226667;190.4;0.634666667;231.6533333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;30;0.954;300.0;0.0153333;128.8;0.429333333;156.7066667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;30;0.972;300.0;0.0093333;78.4;0.261333333;95.38666667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;30;0.899;300.0;0.0336667;207.05;0.690166667;251.9108333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;30;0.943;300.0;0.0190000;116.85;0.3895;142.1675;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;30;0.975;300.0;0.0083333;51.25;0.170833333;62.35416667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;30;0.899;270.0;0.0374074;111.1;0.411481481;150.1907407;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;30;0.938;270.0;0.0229630;68.2;0.252592593;92.1962963;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;30;0.973;270.0;0.0100000;29.7;0.11;40.15;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;30;0.819;515.3;0.0351259;371.05;0.720079955;262.8291836;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;38;1.011;30.0;-0.0366667;-28.6;-0.953333333;-347.9666667;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;38;1.004;60.0;-0.0066667;-10.4;-0.173333333;-63.26666667;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;38;1.001;90.0;-0.0011111;-2.6;-0.028888889;-10.54444444;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;38;0.995;120.0;0.0041667;13;0.108333333;39.54166667;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-25R;2500;60;38;1.015;30.0;-0.0500000;-37.5;-1.25;-456.25;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;38;1.004;60.0;-0.0066667;-10;-0.166666667;-60.83333333;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;38;0.991;90.0;0.0100000;22.5;0.25;91.25;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
